code_annee,code_postal,code_delits,code_indicateur,nb_delits
9,75005,26,364,203
9,75007,26,365,129
9,75008,26,366,287
9,75009,26,367,197
9,75010,26,368,478
9,75011,26,369,321
9,75012,26,370,299
9,75013,26,371,350
9,75014,26,372,193
9,75015,26,373,239
9,75016,26,374,436
9,75017,26,375,564
9,75018,26,376,725
9,75019,26,377,552
9,75020,26,378,366
9,75001,26,379,630
9,75002,27,380,0
9,75003,27,381,0
9,75004,27,382,1
9,75005,27,383,516
9,75007,27,384,238
9,75008,27,385,244
9,75009,27,386,278
9,75010,27,387,413
9,75011,27,388,480
9,75012,27,389,451
9,75013,27,390,494
9,75014,27,391,350
9,75015,27,392,985
9,75016,27,393,613
9,75017,27,394,744
9,75018,27,395,1248
9,75019,27,396,497
9,75020,27,397,484
9,75001,27,398,907
9,75002,28,399,0
9,75003,28,400,0
9,75004,28,401,0
9,75005,28,402,80
9,75007,28,403,25
9,75008,28,404,16
9,75009,28,405,10
9,75010,28,406,7
9,75011,28,407,15
9,75012,28,408,18
9,75013,28,409,22
9,75014,28,410,19
9,75015,28,411,46
9,75016,28,412,34
9,75017,28,413,30
9,75018,28,414,26
9,75019,28,415,16
9,75020,28,416,13
9,75001,28,417,60
9,75002,29,418,1
9,75003,29,419,1
9,75004,29,420,0
9,75005,29,421,267
9,75007,29,422,130
9,75008,29,423,238
9,75009,29,424,251
9,75010,29,425,317
9,75011,29,426,281
9,75012,29,427,235
9,75013,29,428,165
9,75014,29,429,164
9,75015,29,430,290
9,75016,29,431,351
9,75017,29,432,250
9,75018,29,433,310
9,75019,29,434,259
9,75020,29,435,250
9,75001,29,436,646
9,75002,30,437,1
9,75003,30,438,1
9,75004,30,439,0
9,75005,30,440,43
9,75007,30,441,55
9,75008,30,442,64
9,75009,30,443,50
9,75010,30,444,94
9,75011,30,445,70
9,75012,30,446,143
9,75013,30,447,109
9,75014,30,448,83
9,75015,30,449,143
9,75016,30,450,124
9,75017,30,451,136
9,75018,30,452,167
9,75019,30,453,212
9,75020,30,454,122
9,75001,30,455,180
9,75002,31,456,0
9,75003,31,457,0
9,75004,31,458,0
9,75005,31,459,13
9,75007,31,460,2
9,75008,31,461,10
9,75009,31,462,7
9,75010,31,463,12
9,75011,31,464,9
9,75012,31,465,12
9,75013,31,466,44
9,75014,31,467,13
9,75015,31,468,27
9,75016,31,469,23
9,75017,31,470,19
9,75018,31,471,9
9,75019,31,472,34
9,75020,31,473,23
9,75001,31,474,34
9,75002,32,475,1
9,75003,32,476,5
9,75004,32,477,1
9,75005,32,478,2857
9,75007,32,479,825
9,75008,32,480,1888
9,75009,32,481,960
9,75010,32,482,1039
9,75011,32,483,120
9,75012,32,484,613
9,75013,32,485,891
9,75014,32,486,358
9,75015,32,487,2506
9,75016,32,488,1295
9,75017,32,489,301
9,75018,32,490,814
9,75019,32,491,811
9,75020,32,492,573
9,75001,32,493,3587
9,75002,33,494,1
9,75003,33,495,0
9,75004,33,496,1
9,75005,33,497,144
9,75007,33,498,84
9,75008,33,499,322
9,75009,33,500,346
9,75010,33,501,44
9,75011,33,502,95
9,75012,33,503,67
9,75013,33,504,119
9,75014,33,505,104
9,75015,33,506,115
9,75016,33,507,119
9,75017,33,508,97
9,75018,33,509,47
9,75019,33,510,207
9,75020,33,511,75
9,75001,33,512,335
9,75002,34,513,0
9,75003,34,514,0
9,75004,34,515,0
9,75005,34,516,0
9,75007,34,517,0
9,75008,34,518,0
9,75009,34,519,0
9,75010,34,520,0
9,75011,34,521,0
9,75012,34,522,0
9,75013,34,523,0
9,75014,34,524,0
9,75015,34,525,0
9,75016,34,526,1
9,75017,34,527,0
9,75018,34,528,0
9,75019,34,529,0
9,75020,34,530,0
9,75001,34,531,0
9,75002,35,532,0
9,75003,35,533,0
9,75004,35,534,0
9,75005,35,535,52
9,75007,35,536,37
9,75008,35,537,77
9,75009,35,538,24
9,75010,35,539,64
9,75011,35,540,80
9,75012,35,541,132
9,75013,35,542,145
9,75014,35,543,98
9,75015,35,544,149
9,75016,35,545,282
9,75017,35,546,197
9,75018,35,547,128
9,75019,35,548,135
9,75020,35,549,96
9,75001,35,550,65
9,75002,36,551,0
9,75003,36,552,0
9,75004,36,553,0
9,75005,36,554,229
9,75007,36,555,110
9,75008,36,556,253
9,75009,36,557,157
9,75010,36,558,220
9,75011,36,559,362
9,75012,36,560,306
9,75013,36,561,295
9,75014,36,562,255
9,75015,36,563,423
9,75016,36,564,390
9,75017,36,565,444
9,75018,36,566,348
9,75019,36,567,301
9,75020,36,568,354
9,75001,36,569,410
9,75002,37,570,2
9,75003,37,571,2
9,75004,37,572,0
9,75005,37,573,651
9,75007,37,574,344
9,75008,37,575,895
9,75009,37,576,619
9,75010,37,577,782
9,75011,37,578,550
9,75012,37,579,601
9,75013,37,580,917
9,75014,37,581,450
9,75015,37,582,615
9,75016,37,583,1112
9,75017,37,584,925
9,75018,37,585,1131
9,75019,37,586,1345
9,75020,37,587,594
9,75001,37,588,996
9,75002,38,589,0
9,75003,38,590,0
9,75004,38,591,0
9,75005,38,592,66
9,75007,38,593,37
9,75008,38,594,83
9,75009,38,595,65
9,75010,38,596,77
9,75011,38,597,112
9,75012,38,598,131
9,75013,38,599,134
9,75014,38,600,94
9,75015,38,601,136
9,75016,38,602,178
9,75017,38,603,183
9,75018,38,604,146
9,75019,38,605,118
9,75020,38,606,155
9,75001,38,607,124
9,75002,41,608,2
9,75003,41,609,0
9,75004,41,610,0
9,75005,41,611,216
9,75007,41,612,37
9,75008,41,613,520
9,75009,41,614,315
9,75010,41,615,161
9,75011,41,616,195
9,75012,41,617,174
9,75013,41,618,106
9,75014,41,619,192
9,75015,41,620,136
9,75016,41,621,147
9,75017,41,622,190
9,75018,41,623,135
9,75019,41,624,102
9,75020,41,625,280
9,75001,41,626,275
9,75002,42,627,3
9,75003,42,628,2
9,75004,42,629,1
9,75005,42,630,537
9,75007,42,631,149
9,75008,42,632,344
9,75009,42,633,345
9,75010,42,634,506
9,75011,42,635,434
9,75012,42,636,452
9,75013,42,637,629
9,75014,42,638,498
9,75015,42,639,564
9,75016,42,640,549
9,75017,42,641,578
9,75018,42,642,1016
9,75019,42,643,592
9,75020,42,644,601
9,75001,42,645,711
9,75002,43,646,1
9,75003,43,647,11
9,75004,43,648,5
9,75005,43,649,2099
9,75007,43,650,1067
9,75008,43,651,2389
9,75009,43,652,1872
9,75010,43,653,2820
9,75011,43,654,3295
9,75012,43,655,2318
9,75013,43,656,3908
9,75014,43,657,3899
9,75015,43,658,1376
9,75016,43,659,2533
9,75017,43,660,4216
9,75018,43,661,5060
9,75019,43,662,3065
9,75020,43,663,3420
9,75001,43,664,3906
9,75002,46,665,0
9,75003,46,666,0
9,75004,46,667,0
9,75005,46,668,32
9,75007,46,669,8
9,75008,46,670,7
9,75009,46,671,10
9,75010,46,672,31
9,75011,46,673,38
9,75012,46,674,29
9,75013,46,675,56
9,75014,46,676,32
9,75015,46,677,36
9,75016,46,678,27
9,75017,46,679,20
9,75018,46,680,44
9,75019,46,681,48
9,75020,46,682,36
9,75001,46,683,48
9,75002,47,684,0
9,75003,47,685,0
9,75004,47,686,0
9,75005,47,687,3
9,75007,47,688,0
9,75008,47,689,3
9,75009,47,690,6
9,75010,47,691,5
9,75011,47,692,6
9,75012,47,693,7
9,75013,47,694,9
9,75014,47,695,1
9,75015,47,696,5
9,75016,47,697,6
9,75017,47,698,3
9,75018,47,699,6
9,75019,47,700,3
9,75020,47,701,3
9,75001,47,702,5
9,75002,48,703,0
9,75003,48,704,0
9,75004,48,705,0
9,75005,48,706,51
9,75007,48,707,16
9,75008,48,708,48
9,75009,48,709,26
9,75010,48,710,50
9,75011,48,711,59
9,75012,48,712,53
9,75013,48,713,69
9,75014,48,714,43
9,75015,48,715,74
9,75016,48,716,57
9,75017,48,717,52
9,75018,48,718,71
9,75019,48,719,52
9,75020,48,720,80
9,75001,48,721,99
9,75002,49,722,0
9,75003,49,723,0
9,75004,49,724,0
9,75005,49,725,8
9,75007,49,726,4
9,75008,49,727,4
9,75009,49,728,3
9,75010,49,729,13
9,75011,49,730,9
9,75012,49,731,7
9,75013,49,732,16
9,75014,49,733,12
9,75015,49,734,9
9,75016,49,735,10
9,75017,49,736,6
9,75018,49,737,13
9,75019,49,738,24
9,75020,49,739,17
9,75001,49,740,7
9,75002,50,741,0
9,75003,50,742,1
9,75004,50,743,0
9,75005,50,744,24
9,75007,50,745,17
9,75008,50,746,14
9,75009,50,747,10
9,75010,50,748,22
9,75011,50,749,15
9,75012,50,750,22
9,75013,50,751,34
9,75014,50,752,27
9,75015,50,753,42
9,75016,50,754,29
9,75017,50,755,23
9,75018,50,756,36
9,75019,50,757,43
9,75020,50,758,39
9,75001,50,759,33
9,75002,55,760,0
9,75003,55,761,1
9,75004,55,762,0
9,75005,55,763,65
9,75007,55,764,16
9,75008,55,765,41
9,75009,55,766,15
9,75010,55,767,48
9,75011,55,768,47
9,75012,55,769,42
9,75013,55,770,47
9,75014,55,771,48
9,75015,55,772,54
9,75016,55,773,51
9,75017,55,774,40
9,75018,55,775,196
9,75019,55,776,98
9,75020,55,777,50
9,75001,55,778,76
9,75002,56,779,2
9,75003,56,780,0
9,75004,56,781,0
9,75005,56,782,52
9,75007,56,783,17
9,75008,56,784,40
9,75009,56,785,39
9,75010,56,786,144
9,75011,56,787,151
9,75012,56,788,121
9,75013,56,789,46
9,75014,56,790,31
9,75015,56,791,85
9,75016,56,792,72
9,75017,56,793,58
9,75018,56,794,435
9,75019,56,795,317
9,75020,56,796,162
9,75001,56,797,108
9,75002,57,798,11
9,75003,57,799,3
9,75004,57,800,6
9,75005,57,801,167
9,75007,57,802,105
9,75008,57,803,404
9,75009,57,804,165
9,75010,57,805,411
9,75011,57,806,258
9,75012,57,807,311
9,75013,57,808,209
9,75014,57,809,358
9,75015,57,810,393
9,75016,57,811,296
9,75017,57,812,304
9,75018,57,813,887
9,75019,57,814,738
9,75020,57,815,518
9,75001,57,816,534
9,75002,63,817,0
9,75003,63,818,0
9,75004,63,819,0
9,75005,63,820,19
9,75007,63,821,5
9,75008,63,822,31
9,75009,63,823,6
9,75010,63,824,22
9,75011,63,825,26
9,75012,63,826,57
9,75013,63,827,37
9,75014,63,828,17
9,75015,63,829,42
9,75016,63,830,27
9,75017,63,831,48
9,75018,63,832,51
9,75019,63,833,48
9,75020,63,834,39
9,75001,63,835,33
9,75002,66,836,0
9,75003,66,837,0
9,75004,66,838,0
9,75005,66,839,33
9,75007,66,840,18
9,75008,66,841,15
9,75009,66,842,19
9,75010,66,843,31
9,75011,66,844,24
9,75012,66,845,29
9,75013,66,846,63
9,75014,66,847,26
9,75015,66,848,42
9,75016,66,849,42
9,75017,66,850,36
9,75018,66,851,42
9,75019,66,852,50
9,75020,66,853,67
9,75001,66,854,46
9,75002,67,855,0
9,75003,67,856,3
9,75004,67,857,0
9,75005,67,858,528
9,75007,67,859,279
9,75008,67,860,605
9,75009,67,861,580
9,75010,67,862,716
9,75011,67,863,201
9,75012,67,864,736
9,75013,67,865,622
9,75014,67,866,204
9,75015,67,867,480
9,75016,67,868,620
9,75017,67,869,134
9,75018,67,870,1237
9,75019,67,871,1085
9,75020,67,872,215
9,75001,67,873,974
9,75002,68,874,0
9,75003,68,875,1
9,75004,68,876,1
9,75005,68,877,130
9,75007,68,878,56
9,75008,68,879,228
9,75009,68,880,86
9,75010,68,881,122
9,75011,68,882,65
9,75012,68,883,164
9,75013,68,884,170
9,75014,68,885,78
9,75015,68,886,132
9,75016,68,887,207
9,75017,68,888,95
9,75018,68,889,63
9,75019,68,890,393
9,75020,68,891,79
9,75001,68,892,177
9,75002,74,893,7
9,75003,74,894,1
9,75004,74,895,2
9,75005,74,896,105
9,75007,74,897,73
9,75008,74,898,159
9,75009,74,899,117
9,75010,74,900,97
9,75011,74,901,117
9,75012,74,902,174
9,75013,74,903,135
9,75014,74,904,136
9,75015,74,905,134
9,75016,74,906,109
9,75017,74,907,151
9,75018,74,908,257
9,75019,74,909,294
9,75020,74,910,171
9,75001,74,911,299
9,75002,79,912,0
9,75003,79,913,0
9,75004,79,914,0
9,75005,79,915,0
9,75007,79,916,0
9,75008,79,917,1
9,75009,79,918,0
9,75010,79,919,0
9,75011,79,920,0
9,75012,79,921,1
9,75013,79,922,0
9,75014,79,923,0
9,75015,79,924,0
9,75016,79,925,1
9,75017,79,926,0
9,75018,79,927,0
9,75019,79,928,0
9,75020,79,929,1
9,75001,79,930,1
8,75002,2,931,0
8,75003,2,932,0
8,75004,2,933,0
8,75005,2,934,0
8,75007,2,935,0
8,75008,2,936,0
8,75009,2,937,0
8,75010,2,938,0
8,75011,2,939,0
8,75012,2,940,0
8,75013,2,941,0
8,75014,2,942,0
8,75015,2,943,0
8,75016,2,944,1
8,75017,2,945,0
8,75018,2,946,0
8,75019,2,947,0
8,75020,2,948,0
8,75001,2,949,0
8,75002,3,950,0
8,75003,3,951,0
8,75004,3,952,1
8,75005,3,953,1
8,75007,3,954,1
8,75008,3,955,0
8,75009,3,956,0
8,75010,3,957,2
8,75011,3,958,0
8,75012,3,959,2
8,75013,3,960,1
8,75014,3,961,0
8,75015,3,962,0
8,75016,3,963,1
8,75017,3,964,0
8,75018,3,965,2
8,75019,3,966,5
8,75020,3,967,0
8,75001,3,968,0
8,75002,4,969,0
8,75003,4,970,0
8,75004,4,971,1
8,75005,4,972,0
8,75007,4,973,0
8,75008,4,974,0
8,75009,4,975,0
8,75010,4,976,0
8,75011,4,977,2
8,75012,4,978,1
8,75013,4,979,1
8,75014,4,980,0
8,75015,4,981,0
8,75016,4,982,0
8,75017,4,983,0
8,75018,4,984,0
8,75019,4,985,1
8,75020,4,986,0
8,75001,4,987,0
8,75002,5,988,1
8,75003,5,989,0
8,75004,5,990,1
8,75005,5,991,2
8,75007,5,992,2
8,75008,5,993,2
8,75009,5,994,1
