code_population,age,hommes,femmes,ensemble,code_postal
169,80 ans ou plus,2700,5373,8073,75017
170,Moins de 3 ans,3107,3020,6127,75018
171,3 à 5 ans,2620,2647,5267,75018
172,6 à 10 ans,4485,4107,8593,75018
173,11 à 17 ans,5781,5401,11182,75018
174,18 à 24 ans,8791,9574,18365,75018
175,25 à 39 ans,29955,30089,60044,75018
176,40 à 54 ans,19897,18692,38589,75018
177,55 à 64 ans,9647,10174,19821,75018
178,65 à 79 ans,8658,10166,18824,75018
179,80 ans ou plus,2304,4549,6852,75018
180,Moins de 3 ans,3319,3325,6644,75019
181,3 à 5 ans,2926,3175,6101,75019
182,6 à 10 ans,4807,5143,9951,75019
183,11 à 17 ans,7051,7024,14075,75019
184,18 à 24 ans,8485,9523,18008,75019
185,25 à 39 ans,21825,23022,44847,75019
186,40 à 54 ans,17421,18712,36132,75019
187,55 à 64 ans,10368,11216,21585,75019
188,65 à 79 ans,9579,11157,20736,75019
189,80 ans ou plus,2586,4848,7435,75019
190,Moins de 3 ans,3233,2945,6177,75020
191,3 à 5 ans,2905,2923,5828,75020
192,6 à 10 ans,4981,4588,9569,75020
193,11 à 17 ans,6754,6783,13537,75020
194,18 à 24 ans,8174,9164,17338,75020
195,25 à 39 ans,23082,25329,48410,75020
196,40 à 54 ans,20016,20712,40728,75020
197,55 à 64 ans,10457,13050,23507,75020
198,65 à 79 ans,10238,12258,22496,75020
199,80 ans ou plus,2769,5240,8009,75020
