code_cam,implantation,precision_implantation,date_implantation,lat,lon,code_annee,code_postal
14602,Rue Raymond Losserand  rue Pierre Larousse,croisement,40956,48.8306854,2.3117493,10,75014
15043,Boulevard Victor  avenue de la Porte de Sèvres,croisement,42998,48.836019933333304,2.27817163333333,10,75015
15095,Rue Linois  rue Emeriau,croisement,42796,48.847685299999995,2.2841359,10,75015
15116,Rue de Vaugirard  place Adolphe Chérioux,croisement,42816,48.8395224,2.3011469333333303,10,75015
15301,Rue Merlin  rue Duranti,croisement,40963,48.860980100000006,2.3851317,10,75011
15476,Rue de Tolbiac  rue du Chevaleret,croisement,40991,48.8298819490051,2.3754785003514303,10,75013
15560,Place de la République  rue du Faubourg du Temple,croisement,41446,48.867760600000004,2.3643363999999996,10,75010
15950,Rue du Moulin de la Vierge  rue Decrès,croisement,40956,48.8326702,2.3144866000000004,10,75014
15991,Rue Saint-Denis  rue Sainte-Apolline,croisement,41173,48.8692465,2.3523917,10,75002
16013,Rue Cortambert  rue Nicolo,croisement,42919,48.8601468,2.2781075,10,75016
16056,Place Denfert-Rochereau  rue de Grancey,croisement,40898,48.8340769,2.3309203,10,75014
16134,Avenue Ferdinand Buisson  avenue Georges Lafont  avenue Félix d'Herelle,croisement,42811,48.834981299999995,2.2551291,10,75016
16145,Boulevard Murat  rue Daumier,croisement,42636,48.8392013,2.2647302000000002,10,75016
16148,Rue Pergolèse  rue Marbeau,croisement,Début 2019,48.8736993,2.2817627000000003,10,75016
16334,Rue des Poissonniers  rue Myrha,croisement,41250,48.8867071,2.3507436,10,75018
16561,Boulevard de la Chapelle  rue Caplat,croisement,42058,48.884086200000006,2.35241835,10,75018
16887,Quai de la Mégisserie  Pont Neuf,croisement,40898,48.8584826,2.3424642999999996,10,75001
16986,Avenue d'Italie  rue de Tolbiac,croisement,41131,48.826184999999995,2.3572626,10,75013
17064,Avenue de Saint-Ouen  rue Navier,croisement,43413,48.895556,2.3282949,10,75017
17153,Boulevard Mortier  place de l'Adjudant Vincenot,croisement,41250,48.8705559333333,2.4086659333333302,10,75020
17168,Rue Saint-Charles  rue Varet,croisement,41054,48.840084600000004,2.2798354,10,75015
17326,Rue d'Antin  avenue de l'Opéra,croisement,41194,48.86875845,2.33311695,10,75002
17774,Rue Brisemiche  rue du Cloître Saint-Merri,croisement,41068,48.859051799999996,2.3514115,10,75004
17942,Rue des Pyrénées  rue du Retrait,croisement,41089,48.867791700000005,2.3962354,10,75020
18002,Rue Lamarck  rue Carpeaux,croisement,42935,48.8909513,2.3314221,10,75018
18087,Rue de la Goutte d'Or  rue des Islettes,croisement,42688,48.885142200000004,2.3507852000000002,10,75018
18088,Rue de Panama  rue Léon,croisement,42656,48.8876222,2.3534917,10,75018
18094,Rue Riquet  rue Pajol,croisement,42804,48.8899235,2.3630948,10,75018
18111,Rue des Poissonniers  rue Championnet,croisement,42955,48.8951114,2.3529252,10,75018
18308,Rue Curnonsky  rue Raymond Pitet,croisement,41075,48.89032460000001,2.2961426,10,75017
18325,Rue de Belleville  rue Piat,croisement,41061,48.8734835,2.3831002,10,75020
